0,1430717620.83
0,1430717621.86
0,1430717622.82
0,1430717623.82
30,1430717624.82
30,1430717625.83
30,1430717626.81
30,1430717627.81
30,1430717628.82
30,1430717629.78
34,1430717630.79
56,1430717631.81
77,1430717632.79
84,1430717633.80
80,1430717634.78
70,1430717635.78
41,1430717636.79
51,1430717637.77
54,1430717638.77
47,1430717639.78
51,1430717640.77
54,1430717641.77
67,1430717642.77
61,1430717643.75
88,1430717644.76
78,1430717645.76
64,1430717646.75
56,1430717647.74
53,1430717648.74
57,1430717649.72
78,1430717650.73
100,1430717651.74
100,1430717652.72
100,1430717653.72
78,1430717654.72
37,1430717655.70
24,1430717656.72
14,1430717657.72
26,1430717658.72
35,1430717659.72
29,1430717660.68
23,1430717661.69
11,1430717662.72
14,1430717663.67
24,1430717664.70
26,1430717665.68
20,1430717666.70
24,1430717667.67
29,1430717668.67
48,1430717669.68
67,1430717670.68
70,1430717671.67
61,1430717672.66
47,1430717673.65
41,1430717674.66
51,1430717675.66
48,1430717676.64
51,1430717677.65
47,1430717678.63
21,1430717679.63
16,1430717680.63
1,1430717681.62
7,1430717682.64
11,1430717683.63
24,1430717684.62
35,1430717685.61
14,1430717686.62
17,1430717687.62
17,1430717688.63
21,1430717689.61
47,1430717690.62
43,1430717691.62
48,1430717692.60
48,1430717693.59
41,1430717694.60
48,1430717695.57
38,1430717696.58
37,1430717697.58
0,201505040139290000.00
0,201505040139300000.00
0,201505040139310000.00
0,201505040139320000.00
41,201505040139330000.00
34,201505040139340000.00
27,201505040139350000.00
24,201505040139360000.00
38,201505040139370000.00
61,201505040139379000.00
69,201505040139389000.00
90,201505040139400000.00
83,201505040139410000.00
75,201505040139420000.00
64,201505040139429000.00
69,201505040139439000.00
43,201505040139449000.00
17,201505040139459000.00
17,201505040139469000.00
1,201505040139479000.00
